Title,Link
Designing NotebookLM,https://jasonspielman.com/notebooklm
Cormac McCarthy's tips on how to write a science paper (2019) [pdf],https://gwern.net/doc/science/2019-savage.pdf
TV Time Machine: A Raspberry Pi That Plays Random 90s TV,https://quarters.captaintouch.com/blog/posts/2025-09-20-tv-time-machine-a-raspberry-pi-that-plays-random-90s-tv.html
Bringing restartable sequences out of the niche,https://lwn.net/Articles/1033955/
Ultrasonic Chef's Knife,https://seattleultrasonics.com/
Scream cipher,https://sethmlarson.dev/scream-cipher
Escapee pregnancy test frogs colonised Wales for 50 years (2019),https://www.bbc.com/news/uk-wales-44886585
Images over DNS,https://dgl.cx/2025/09/images-over-dns
I'm Not a Robot,https://neal.fun/not-a-robot/
MapSCII – World map in terminal,https://github.com/rastapasta/mapscii
Living microbial cement supercapacitors with reactivatable energy storage,https://www.cell.com/cell-reports-physical-science/fulltext/S2666-3864(25)00409-6
Evals in 2025: going beyond simple benchmarks to build models people can use,https://github.com/huggingface/evaluation-guidebook/blob/main/yearly_dives/2025-evaluations-for-useful-models.md
Systemd can be a cause of restrictions on daemons,https://utcc.utoronto.ca/~cks/space/blog/linux/SystemdCanBeRestrictionCause
Less is safer: Reducing the risk of supply chain attacks,https://obsidian.md/blog/less-is-safer/
FLX1s phone is launched,https://furilabs.com/flx1s-is-launched/
Is Zig's new writer unsafe?,https://www.openmymind.net/Is-Zigs-New-Io-Unsafe/
Are touchscreens in cars dangerous?,https://www.economist.com/science-and-technology/2025/09/19/are-touchscreens-in-cars-dangerous
Claude can sometimes prove it,https://www.galois.com/articles/claude-can-sometimes-prove-it
Vapor chamber tech keeps iPhone 17 Pro cool,https://spectrum.ieee.org/iphone-17-pro-vapor-chamber
Bezier Curve as Easing Function in C++,https://asawicki.info/news_1790_bezier_curve_as_easing_function_in_c
The LLM Lobotomy?,https://learn.microsoft.com/en-us/answers/questions/5561465/the-llm-lobotomy
Show HN: Math2Tex – Convert handwritten math and complex notes to LaTeX text,item?id=45276501
Solving a Wooden Puzzle Using Haskell,https://glocq.github.io/en/blog/20250428/
Git: Introduce Rust and announce it will become mandatory in the build system,https://lore.kernel.org/git/20250904-b4-pks-rust-breaking-change-v1-0-3af1d25e0be9@pks.im/
PYREX vs. pyrex: What's the difference?,https://www.corning.com/worldwide/en/products/life-sciences/resources/stories/in-the-field/pyrex-vs-pyrex-whats-the-difference.html
Visa holders on vacation have 15 hours to return to US or pay $100k fee,https://timesofindia.indiatimes.com/technology/tech-news/microsoft-has-a-24-hour-deadline-warning-for-indian-and-other-foreign-employees-after-h1-b-visa-fees-hike-to-100000-strongly-recommend-h1b-visa-holders-/articleshow/124010245.cms
Overcoming barriers of hydrogen storage with a low-temperature hydrogen battery,https://www.isct.ac.jp/en/news/okmktjxyrvdc
If all the world were a monorepo,https://jtibs.substack.com/p/if-all-the-world-were-a-monorepo
China's 200M gig workers are a warning for the world,https://www.economist.com/leaders/2025/09/18/chinas-200m-gig-workers-are-a-warning-for-the-world
"If you are good at code review, you will be good at using AI agents",https://www.seangoedecke.com/ai-agents-and-code-review/
